         100,         0, 0x0000000
         100,         1, 0x0000114
         100,         2, 0x0000009
         100,         3, 0x0000028
         100,         4, 0x000002d
         100,         5, 0x0000031
         100,         6, 0x000008d
         100,         7, 0x0000114
         100,         8, 0x0000117
         100,         9, 0x000014d
         100,        10, 0x000014f
         100,        11, 0x0000157
         100,        12, 0x000015d
         100,        13, 0x00000aa
         100,        14, 0x00000ca
         100,        15, 0x0000084
         100,        16, 0x0000086
         100,        17, 0x000008c
         100,        18, 0x000008d
         100,        19, 0x0000091
         100,        20, 0x0000096
         100,        21, 0x000009c
         100,        22, 0x00000a0
         100,        23, 0x00000a8
         100,        24, 0x00000aa
         100,        25, 0x00000af
         100,        26, 0x00000b3
         100,        27, 0x00000b7
         100,        28, 0x00000bb
         100,        29, 0x00000bc
         100,        30, 0x00000bd
         100,        31, 0x00000c2
         100,        32, 0x00000ca
         100,        33, 0x0000161
         100,        34, 0x00001ab
         100,        35, 0x00001ad
         100,        36, 0x00001b1
         100,        37, 0x00001b8
